n,bst_aleatorio,bst_ordenado,avl_aleatorio,avl_ordenado
1000,0.00043310000910423696,0.011759500004700385,0.002311899996129796,0.0023443999962182716
2000,0.0008770999993430451,0.04613509999762755,0.005134399994858541,0.005089999991469085
4000,0.00195569999050349,0.18147640000097454,0.012025700008962303,0.011166999989654869
8000,0.00552639999659732,0.7298370000062278,0.028659100004006177,0.024406199998338707
16000,0.009819300001254305,2.971550100002787,0.056185400011599995,0.05558990000281483
